user_name,workflow_name,timestamp,duration,correlation_id,team,title,location,expected_duration,is_sla_met
Bob,Data Processing,2025-11-12 04:52:00,289.41,corr-0047-3332,Data Science,ML Engineer,San Francisco,178.98,No
Eve,Data Validation,2025-11-01 04:13:00,205.97,corr-0048-2451,Operations,DevOps Engineer,Tokyo,209.31,Yes
Bob,Data Processing,2025-11-17 16:01:00,30.89,corr-0049-8506,Data Science,ML Engineer,San Francisco,204.21,Yes
Alice,Model Training,2025-11-28 00:04:00,278.18,corr-0050-4253,Engineering,Data Engineer,New York,223.23,No
Bob,Data Processing,2025-11-18 13:37:00,227.71,corr-0051-2454,Data Science,ML Engineer,San Francisco,205.23,No
Bob,Data Processing,2025-11-03 18:50:00,69.13,corr-0052-9889,Data Science,ML Engineer,San Francisco,201.33,Yes
Bob,ETL Pipeline,2025-11-27 01:06:00,260.86,corr-0053-7553,Data Science,ML Engineer,San Francisco,167.44,No
Eve,Data Validation,2025-11-17 22:27:00,41.73,corr-0054-4432,Operations,DevOps Engineer,Tokyo,235.29,Yes
Alice,Model Training,2025-11-12 06:49:00,85.93,corr-0055-4094,Engineering,Data Engineer,New York,172.78,Yes
Diana,ETL Pipeline,2025-11-15 22:05:00,30.22,corr-0056-3213,Data Science,Data Scientist,Remote,219.6,Yes
Alice,Report Generation,2025-11-03 12:19:00,187.83,corr-0057-9483,Engineering,Data Engineer,New York,207.52,Yes
Diana,Report Generation,2025-11-20 08:37:00,159.81,corr-0058-8262,Data Science,Data Scientist,Remote,226.16,Yes
Charlie,ETL Pipeline,2025-12-01 00:04:00,171.7,corr-0059-4831,Analytics,Senior Analyst,London,231.03,Yes
Bob,Data Validation,2025-11-03 14:16:00,181.71,corr-0060-3377,Data Science,ML Engineer,San Francisco,223.17,Yes
Charlie,ETL Pipeline,2025-11-07 03:27:00,80.45,corr-0061-8728,Analytics,Senior Analyst,London,221.97,Yes
Charlie,Model Training,2025-11-12 19:49:00,75.65,corr-0062-1198,Analytics,Senior Analyst,London,237.51,Yes
Bob,ETL Pipeline,2025-11-04 17:22:00,241.91,corr-0063-4049,Data Science,ML Engineer,San Francisco,218.44,No
Bob,Data Validation,2025-11-24 18:59:00,73.68,corr-0064-1591,Data Science,ML Engineer,San Francisco,244.91,Yes
Diana,Model Training,2025-11-26 14:30:00,129.25,corr-0065-3529,Data Science,Data Scientist,Remote,213.7,Yes
Charlie,Report Generation,2025-11-18 12:10:00,98.3,corr-0066-8352,Analytics,Senior Analyst,London,214.45,Yes
Alice,Model Training,2025-11-15 21:39:00,224.43,corr-0067-9730,Engineering,Data Engineer,New York,209.41,No
Alice,ETL Pipeline,2025-11-13 06:54:00,45.07,corr-0068-2794,Engineering,Data Engineer,New York,212.51,Yes
Eve,ETL Pipeline,2025-11-27 04:29:00,221.69,corr-0069-8220,Operations,DevOps Engineer,Tokyo,208.04,No
Eve,ETL Pipeline,2025-11-06 17:09:00,151.55,corr-0070-5984,Operations,DevOps Engineer,Tokyo,194.17,Yes
Bob,Report Generation,2025-12-01 15:26:00,205.06,corr-0071-8919,Data Science,ML Engineer,San Francisco,183.21,No
Diana,Data Processing,2025-11-01 11:12:00,81.2,corr-0072-9574,Data Science,Data Scientist,Remote,219.02,Yes
Eve,ETL Pipeline,2025-11-29 04:47:00,279.49,corr-0073-7007,Operations,DevOps Engineer,Tokyo,151.35,No
Diana,Report Generation,2025-11-26 16:05:00,299.08,corr-0074-7985,Data Science,Data Scientist,Remote,220.51,No
Alice,Report Generation,2025-11-30 21:15:00,54.8,corr-0075-5537,Engineering,Data Engineer,New York,242.12,Yes
Diana,ETL Pipeline,2025-11-01 12:51:00,11.96,corr-0076-3913,Data Science,Data Scientist,Remote,212.44,Yes
Bob,Data Processing,2025-11-15 08:14:00,108.92,corr-0077-3167,Data Science,ML Engineer,San Francisco,241.75,Yes
Diana,Report Generation,2025-11-20 23:27:00,143.88,corr-0078-5375,Data Science,Data Scientist,Remote,172.2,Yes
Bob,Model Training,2025-11-29 07:38:00,165.11,corr-0079-5105,Data Science,ML Engineer,San Francisco,194.53,Yes
Alice,Data Processing,2025-11-03 16:38:00,292.18,corr-0080-8815,Engineering,Data Engineer,New York,161.54,No
Diana,ETL Pipeline,2025-11-11 11:44:00,63.21,corr-0081-7733,Data Science,Data Scientist,Remote,167.11,Yes
Alice,ETL Pipeline,2025-11-01 12:14:00,69.89,corr-0082-7582,Engineering,Data Engineer,New York,166.68,Yes
Eve,Data Processing,2025-11-25 16:23:00,57.39,corr-0083-9548,Operations,DevOps Engineer,Tokyo,199.35,Yes
Bob,Report Generation,2025-11-29 13:49:00,235.58,corr-0084-7646,Data Science,ML Engineer,San Francisco,209.94,No
Eve,Data Processing,2025-11-15 10:03:00,263.23,corr-0085-9905,Operations,DevOps Engineer,Tokyo,240.23,No
Diana,Data Processing,2025-11-04 14:44:00,288.85,corr-0086-1337,Data Science,Data Scientist,Remote,177.49,No
Eve,Data Validation,2025-11-16 06:26:00,253.16,corr-0087-8252,Operations,DevOps Engineer,Tokyo,172.51,No
Eve,Report Generation,2025-11-12 11:58:00,183.04,corr-0088-1362,Operations,DevOps Engineer,Tokyo,180.9,No
Bob,Report Generation,2025-11-18 19:48:00,67.55,corr-0089-2150,Data Science,ML Engineer,San Francisco,201.24,Yes
Diana,Model Training,2025-11-23 17:04:00,245.85,corr-0090-8950,Data Science,Data Scientist,Remote,184.71,No
Charlie,Report Generation,2025-11-09 11:10:00,204.71,corr-0091-8573,Analytics,Senior Analyst,London,242.69,Yes
Charlie,Model Training,2025-12-01 00:48:00,56.15,corr-0092-1462,Analytics,Senior Analyst,London,203.32,Yes
Bob,ETL Pipeline,2025-11-25 22:50:00,230.63,corr-0093-8169,Data Science,ML Engineer,San Francisco,237.87,Yes
Charlie,Report Generation,2025-11-29 17:24:00,220.38,corr-0094-4424,Analytics,Senior Analyst,London,244.56,Yes
Diana,ETL Pipeline,2025-11-11 18:21:00,95.35,corr-0095-5193,Data Science,Data Scientist,Remote,156.99,Yes
Diana,Model Training,2025-11-06 01:24:00,178.93,corr-0096-6849,Data Science,Data Scientist,Remote,198.85,Yes
Diana,ETL Pipeline,2025-11-03 09:07:00,125.07,corr-0097-9266,Data Science,Data Scientist,Remote,232.83,Yes
Diana,Data Processing,2025-11-20 06:40:00,167.48,corr-0098-9202,Data Science,Data Scientist,Remote,168.0,Yes
Diana,Data Validation,2025-11-12 00:28:00,261.98,corr-0099-8204,Data Science,Data Scientist,Remote,165.45,No
Bob,Report Generation,2025-11-03 01:45:00,75.53,corr-0100-1925,Data Science,ML Engineer,San Francisco,184.19,Yes
