user_name,workflow_name,timestamp,duration,correlation_id,team,title,location,expected_duration,is_sla_met
Isabel,API Testing,2025-12-05 12:22:00,116.62,corr-0066-1640,QA,QA Lead,Remote,284.11,Yes
Grace,Database Migration,2025-12-03 02:34:00,366.51,corr-0067-8700,Security,Security Engineer,Berlin,251.21,No
Jack,Database Migration,2025-12-03 18:27:00,418.32,corr-0068-4740,Platform,Software Engineer,Singapore,207.63,No
Grace,Deployment,2025-12-01 21:53:00,388.03,corr-0069-2221,Security,Security Engineer,Berlin,239.62,No
Isabel,Database Migration,2025-12-01 16:50:00,176.95,corr-0070-1186,QA,QA Lead,Remote,264.17,Yes
Jack,API Testing,2025-12-04 07:08:00,152.1,corr-0071-4479,Platform,Software Engineer,Singapore,208.9,Yes
Grace,API Testing,2025-12-04 11:17:00,229.44,corr-0072-2700,Security,Security Engineer,Berlin,239.26,Yes
Isabel,API Testing,2025-12-07 15:16:00,48.27,corr-0073-8118,QA,QA Lead,Remote,212.2,Yes
Grace,Deployment,2025-12-08 11:21:00,176.96,corr-0074-3689,Security,Security Engineer,Berlin,267.0,Yes
Jack,Code Review,2025-12-04 10:02:00,121.79,corr-0075-6270,Platform,Software Engineer,Singapore,278.49,Yes
Jack,API Testing,2025-12-08 03:14:00,224.75,corr-0076-4820,Platform,Software Engineer,Singapore,255.25,Yes
Frank,Security Scan,2025-12-01 00:14:00,108.64,corr-0077-6564,Platform,Platform Engineer,Seattle,204.19,Yes
Grace,Code Review,2025-12-05 00:07:00,28.21,corr-0078-4604,Security,Security Engineer,Berlin,273.34,Yes
Henry,API Testing,2025-12-06 04:41:00,64.35,corr-0079-1217,DevOps,DevOps Specialist,Austin,282.94,Yes
Jack,Security Scan,2025-12-06 06:14:00,59.3,corr-0080-9267,Platform,Software Engineer,Singapore,248.76,Yes
Grace,Code Review,2025-12-06 23:45:00,285.03,corr-0081-3305,Security,Security Engineer,Berlin,244.1,No
Henry,Code Review,2025-12-02 14:53:00,178.69,corr-0082-1421,DevOps,DevOps Specialist,Austin,258.58,Yes
Grace,Database Migration,2025-12-03 00:01:00,313.74,corr-0083-3450,Security,Security Engineer,Berlin,230.94,No
Henry,Security Scan,2025-12-08 23:49:00,422.41,corr-0084-6327,DevOps,DevOps Specialist,Austin,274.43,No
Isabel,Code Review,2025-12-03 19:12:00,63.3,corr-0085-8514,QA,QA Lead,Remote,238.78,Yes
Isabel,Code Review,2025-12-03 23:26:00,188.52,corr-0086-6326,QA,QA Lead,Remote,286.51,Yes
Isabel,Code Review,2025-12-03 23:36:00,144.54,corr-0087-8219,QA,QA Lead,Remote,243.36,Yes
Jack,Code Review,2025-12-07 21:10:00,62.66,corr-0088-3028,Platform,Software Engineer,Singapore,228.3,Yes
Henry,Security Scan,2025-12-06 10:42:00,254.29,corr-0089-2711,DevOps,DevOps Specialist,Austin,237.04,No
Grace,Deployment,2025-12-01 17:20:00,371.48,corr-0090-8226,Security,Security Engineer,Berlin,251.1,No
Grace,Code Review,2025-12-08 23:55:00,170.78,corr-0091-5880,Security,Security Engineer,Berlin,256.8,Yes
Grace,Code Review,2025-12-07 22:11:00,40.78,corr-0092-1391,Security,Security Engineer,Berlin,227.52,Yes
Grace,API Testing,2025-12-06 00:39:00,362.52,corr-0093-9139,Security,Security Engineer,Berlin,210.64,No
Jack,Code Review,2025-12-08 17:32:00,346.29,corr-0094-5046,Platform,Software Engineer,Singapore,261.23,No
Grace,Database Migration,2025-12-06 05:12:00,199.72,corr-0095-5850,Security,Security Engineer,Berlin,291.52,Yes
Frank,Code Review,2025-12-02 05:30:00,197.76,corr-0096-7351,Platform,Platform Engineer,Seattle,255.49,Yes
Frank,Security Scan,2025-12-01 08:35:00,445.8,corr-0097-6297,Platform,Platform Engineer,Seattle,241.84,No
Grace,Database Migration,2025-12-03 09:31:00,28.76,corr-0098-4951,Security,Security Engineer,Berlin,254.95,Yes
Jack,Security Scan,2025-12-07 15:57:00,181.44,corr-0099-6055,Platform,Software Engineer,Singapore,200.39,Yes
Frank,Deployment,2025-12-01 10:06:00,357.68,corr-0100-6674,Platform,Platform Engineer,Seattle,213.32,No
